Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Belgium, Total dam capacity",Belgium,Western Europe,56,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.14
"Belize, Total dam capacity",Belize,Central America,84,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.12
"Benin, Total dam capacity",Benin,Western Africa,204,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.02
"Bhutan, Total dam capacity",Bhutan,Southern Asia,64,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0
"Bolivia (Plurinational State of), Total dam capacity",Bolivia (Plurinational State of),South America,68,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.6
"Bosnia and Herzegovina, Total dam capacity",Bosnia and Herzegovina,Southern Europe,70,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.91
"Botswana, Total dam capacity",Botswana,Southern Africa,72,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.11
"Brazil, Total dam capacity",Brazil,South America,76,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,700.44
"Brunei Darussalam, Total dam capacity",Brunei Darussalam,South-eastern Asia,96,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.05
"Bulgaria, Total dam capacity",Bulgaria,Eastern Europe,100,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,6.52
"Burkina Faso, Total dam capacity",Burkina Faso,Western Africa,854,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.34
"Cabo Verde, Total dam capacity",Cabo Verde,Western Africa,132,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Cambodia, Total dam capacity",Cambodia,South-eastern Asia,116,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0
"Cameroon, Total dam capacity",Cameroon,Middle Africa,120,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,15.61
"Canada, Total dam capacity",Canada,Northern America,124,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,841.51
"Chile, Total dam capacity",Chile,South America,152,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,13.22
"China, Total dam capacity",China,Eastern Asia,156,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,830.46
"Colombia, Total dam capacity",Colombia,South America,170,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,11.28
"Congo, Total dam capacity",Congo,Middle Africa,178,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.01
"Costa Rica, Total dam capacity",Costa Rica,Central America,188,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2
"Côte d'Ivoire, Total dam capacity",Côte d'Ivoire,Western Africa,384,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,37.24
"Croatia, Total dam capacity",Croatia,Southern Europe,191,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.96
"Cuba, Total dam capacity",Cuba,Caribbean,192,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.66
"Cyprus, Total dam capacity",Cyprus,Western Asia,196,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.33
"Czechia, Total dam capacity",Czechia,Eastern Europe,203,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,3.18
"Democratic People's Republic of Korea, Total dam capacity",Democratic People's Republic of Korea,Eastern Asia,408,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,21.23
"Democratic Republic of the Congo, Total dam capacity",Democratic Republic of the Congo,Middle Africa,180,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.05
"Denmark, Total dam capacity",Denmark,Northern Europe,208,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.02
"Dominican Republic, Total dam capacity",Dominican Republic,Caribbean,214,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.27
"Ecuador, Total dam capacity",Ecuador,South America,218,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,7.69
"Egypt, Total dam capacity",Egypt,Northern Africa,818,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,168.2
"El Salvador, Total dam capacity",El Salvador,Central America,222,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,3.88
"Eritrea, Total dam capacity",Eritrea,Eastern Africa,232,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.04
"Estonia, Total dam capacity",Estonia,Northern Europe,233,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.18
"Eswatini, Total dam capacity",Eswatini,Southern Africa,748,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.58
"Ethiopia, Total dam capacity",Ethiopia,Eastern Africa,231,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,31.48
"Fiji, Total dam capacity",Fiji,Melanesia,242,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.13
"Finland, Total dam capacity",Finland,Northern Europe,246,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,18.6
"France, Total dam capacity",France,Western Europe,250,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,9.98
"Gabon, Total dam capacity",Gabon,Middle Africa,266,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.22
"Georgia, Total dam capacity",Georgia,Western Asia,268,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,3.41
"Germany, Total dam capacity",Germany,Western Europe,276,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,4
"Ghana, Total dam capacity",Ghana,Western Africa,288,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,148.5
"Greece, Total dam capacity",Greece,Southern Europe,300,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,12.32
"Grenada, Total dam capacity",Grenada,Caribbean,308,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0
"Guatemala, Total dam capacity",Guatemala,Central America,320,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.46
"Guinea, Total dam capacity",Guinea,Western Africa,324,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.84
"Guinea-Bissau, Total dam capacity",Guinea-Bissau,Western Africa,624,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Guyana, Total dam capacity",Guyana,South America,328,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.81
"Haiti, Total dam capacity",Haiti,Caribbean,332,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.3
"Honduras, Total dam capacity",Honduras,Central America,340,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.8
"Hungary, Total dam capacity",Hungary,Eastern Europe,348,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.26
"Iceland, Total dam capacity",Iceland,Northern Europe,352,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.31
"India, Total dam capacity",India,Southern Asia,356,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,247.46
"Indonesia, Total dam capacity",Indonesia,South-eastern Asia,360,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,24
"Iran (Islamic Republic of), Total dam capacity",Iran (Islamic Republic of),Southern Asia,364,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,44.44
"Iraq, Total dam capacity",Iraq,Western Asia,368,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,151.8
"Ireland, Total dam capacity",Ireland,Northern Europe,372,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.87
"Italy, Total dam capacity",Italy,Southern Europe,380,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,10.05
"Jamaica, Total dam capacity",Jamaica,Caribbean,388,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.01
"Japan, Total dam capacity",Japan,Eastern Asia,392,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,31.47
"Jordan, Total dam capacity",Jordan,Western Asia,400,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.27
"Kazakhstan, Total dam capacity",Kazakhstan,Central Asia,398,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,79.95
"Kenya, Total dam capacity",Kenya,Eastern Africa,404,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,24.79
"Kyrgyzstan, Total dam capacity",Kyrgyzstan,Central Asia,417,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,23.57
"Lao People's Democratic Republic, Total dam capacity",Lao People's Democratic Republic,South-eastern Asia,418,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,10.62
"Latvia, Total dam capacity",Latvia,Northern Europe,428,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.01
"Lebanon, Total dam capacity",Lebanon,Western Asia,422,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.23
"Lesotho, Total dam capacity",Lesotho,Southern Africa,426,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.87
"Liberia, Total dam capacity",Liberia,Western Africa,430,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.24
"Libya, Total dam capacity",Libya,Northern Africa,434,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.39
"Lithuania, Total dam capacity",Lithuania,Northern Europe,440,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.5
"Luxembourg, Total dam capacity",Luxembourg,Western Europe,442,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.06
"Madagascar, Total dam capacity",Madagascar,Eastern Africa,450,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.49
"Malawi, Total dam capacity",Malawi,Eastern Africa,454,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.04
"Malaysia, Total dam capacity",Malaysia,South-eastern Asia,458,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,22.45
"Maldives, Total dam capacity",Maldives,Southern Asia,462,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Mali, Total dam capacity",Mali,Western Africa,466,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,13.8
"Malta, Total dam capacity",Malta,Southern Europe,470,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Mauritania, Total dam capacity",Mauritania,Western Africa,478,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.5
"Mauritius, Total dam capacity",Mauritius,Eastern Africa,480,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.09
"Mexico, Total dam capacity",Mexico,Central America,484,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,152.28
"Mongolia, Total dam capacity",Mongolia,Eastern Asia,496,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.25
"Montenegro, Total dam capacity",Montenegro,Southern Europe,499,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.03
"Morocco, Total dam capacity",Morocco,Northern Africa,504,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,17.96
"Mozambique, Total dam capacity",Mozambique,Eastern Africa,508,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,74.14
"Myanmar, Total dam capacity",Myanmar,South-eastern Asia,104,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,15.53
"Namibia, Total dam capacity",Namibia,Southern Africa,516,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.71
"Nepal, Total dam capacity",Nepal,Southern Asia,524,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.09
"Netherlands, Total dam capacity",Netherlands,Western Europe,528,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,9.23
"New Zealand, Total dam capacity",New Zealand,Australia and New Zealand,554,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,16.89
"Nicaragua, Total dam capacity",Nicaragua,Central America,558,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,32.01
"Niger, Total dam capacity",Niger,Western Africa,562,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.09
"Nigeria, Total dam capacity",Nigeria,Western Africa,566,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,50.67
"North Macedonia, Total dam capacity",North Macedonia,Southern Europe,807,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.29
"Norway, Total dam capacity",Norway,Northern Europe,578,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,33.28
"Oman, Total dam capacity",Oman,Western Asia,512,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.09
"Pakistan, Total dam capacity",Pakistan,Southern Asia,586,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,27.81
"Palestine(1996-), Total dam capacity",Palestine(1996-),Western Asia,275,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Panama, Total dam capacity",Panama,Central America,591,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,9.14
"Papua New Guinea, Total dam capacity",Papua New Guinea,Melanesia,598,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0
"Paraguay, Total dam capacity",Paraguay,South America,600,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,33.53
"Peru, Total dam capacity",Peru,South America,604,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.77
"Philippines, Total dam capacity",Philippines,South-eastern Asia,608,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,7.11
"Poland, Total dam capacity",Poland,Eastern Europe,616,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.96
"Portugal, Total dam capacity",Portugal,Southern Europe,620,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,11.63
"Republic of Korea, Total dam capacity",Republic of Korea,Eastern Asia,410,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,18.83
"Republic of Moldova, Total dam capacity",Republic of Moldova,Eastern Europe,498,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.13
"Romania, Total dam capacity",Romania,Eastern Europe,642,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,11.06
"Russian Federation, Total dam capacity",Russian Federation,Eastern Europe,643,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,801.54
"Rwanda, Total dam capacity",Rwanda,Eastern Africa,646,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0
"Saint Lucia, Total dam capacity",Saint Lucia,Caribbean,662,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0
"Samoa, Total dam capacity",Samoa,Polynesia,882,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.01
"Sao Tome and Principe, Total dam capacity",Sao Tome and Principe,Middle Africa,678,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.04
"Saudi Arabia, Total dam capacity",Saudi Arabia,Western Asia,682,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1
"Senegal, Total dam capacity",Senegal,Western Africa,686,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.25
"Serbia, Total dam capacity",Serbia,Southern Europe,688,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.27
"Seychelles, Total dam capacity",Seychelles,Eastern Africa,690,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Sierra Leone, Total dam capacity",Sierra Leone,Western Africa,694,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.22
"Singapore, Total dam capacity",Singapore,South-eastern Asia,702,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.07
"Slovakia, Total dam capacity",Slovakia,Eastern Europe,703,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.73
"Slovenia, Total dam capacity",Slovenia,Southern Europe,705,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.03
